customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,vehicle_type
UX92071,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer4,Call Center,Luxury SUV,Medsize,A
EF52978,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
LW25030,Arizona,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Small,A
FY90924,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
LA14484,Nevada,Yes,Basic,High School or Below,Retired,M,Suburban,Married,Special Auto,Special L1,Offer3,Web,Four-Door Car,Medsize,A
SE72928,California,Yes,Basic,Master,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Sports Car,Medsize,A
AX36597,Arizona,No,Extended,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize,A
AZ68184,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize,A
DW96592,California,Yes,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
VY32314,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,Sports Car,Medsize,A
UY61301,Nevada,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,B
UQ30615,California,Yes,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Medsize,A
PN77420,California,No,Basic,College,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer3,Agent,Four-Door Car,Medsize,A
FD36230,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,A
YV55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,A
BI76326,California,No,Premium,College,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Call Center,SUV,Small,B
FJ62579,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Luxury SUV,Small,B
HF96939,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,B
QE13586,California,Yes,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large,B
GK21260,Oregon,No,Extended,Doctor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,SUV,Medsize,A
FO82261,Oregon,No,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,B
WZ92405,Nevada,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Branch,Two-Door Car,Medsize,A
BE62503,Washington,No,Extended,College,Retired,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,A
XP96549,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Large,A
EZ78112,California,No,Basic,High School or Below,Employed,F,Urban,Single,Special Auto,Special L3,Offer1,Agent,Four-Door Car,Medsize,A
CV48634,Nevada,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Call Center,SUV,Medsize,B
FQ79356,California,No,Basic,Bachelor,Medical Leave,F,Urban,Married,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Medsize,A
WC34456,Unknown,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,B
FR12423,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
CE92675,California,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Large,B
EQ87425,California,No,Basic,High School or Below,Unemployed,F,Rural,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,B
RC74014,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Special Auto,Special L3,Offer3,Web,Two-Door Car,Small,B
OY95739,Nevada,Yes,Basic,High School or Below,Medical Leave,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize,A
RW54189,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Small,B
KA62728,California,No,Premium,High School or Below,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,A
SP81997,Washington,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large,A
XJ97760,California,No,Basic,Master,Employed,M,Urban,Single,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,B
YC80498,California,Yes,Basic,College,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Two-Door Car,Medsize,A
NU26460,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Small,B
TD78032,Unknown,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L1,Offer4,Call Center,Four-Door Car,Medsize,B
ZL37444,California,Yes,Extended,Doctor,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,A
TP39671,Arizona,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
EH51056,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Two-Door Car,Small,B
BD53342,Washington,Yes,Extended,College,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,B
TC84427,Oregon,No,Basic,High School or Below,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
LK90215,Oregon,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
NB54665,Arizona,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,A
OO96263,Nevada,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Call Center,Two-Door Car,Medsize,A
YQ79307,Washington,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
VM34210,Washington,No,Basic,College,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize,B
LN34660,California,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Small,A
PW23851,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small,A
KP54476,California,No,Extended,Master,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Two-Door Car,Medsize,A
YB79192,California,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,B
UV89077,Oregon,Yes,Basic,College,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Sports Car,Large,A
UE67791,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,B
OH99089,California,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,B
FU74983,Nevada,No,Extended,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,B
IN57582,California,No,Extended,College,Medical Leave,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,B
FV38119,Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,SUV,Medsize,B
VO61192,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Medsize,B
MT91532,California,No,Extended,Bachelor,Employed,M,Rural,Married,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Medsize,A
MH85165,California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,B
QE22757,Unknown,No,Basic,Doctor,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,A
VQ82774,California,Yes,Extended,Master,Retired,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,A
IX65163,California,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,B
BP53979,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
EV57176,California,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Large,A
UX18122,Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Web,Four-Door Car,Medsize,A
DH68319,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Two-Door Car,Large,A
BD66455,California,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
GG84614,Oregon,No,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Medsize,B
EP46328,California,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Small,B
EL82767,Arizona,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,SUV,Medsize,A
YX23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,A
WG39961,Oregon,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Small,B
EM78211,Oregon,Yes,Extended,College,Unemployed,F,Suburban,Divorced,Special Auto,Special L3,Offer2,Agent,Four-Door Car,Medsize,A
TP12241,California,No,Basic,College,Medical Leave,F,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,B
AO42003,Oregon,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,SUV,Large,A
PB16956,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
ZP80265,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Large,B
XR74007,California,No,Extended,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Agent,Four-Door Car,Medsize,B
PY17715,California,No,Extended,Master,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,B
IW70308,Oregon,Yes,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,A
RT29777,Oregon,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer1,Branch,SUV,Small,B
ZF84966,Nevada,No,Extended,Doctor,Employed,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Call Center,Four-Door Car,Medsize,B
LT41574,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Special Auto,Special L2,Offer1,Web,Four-Door Car,Medsize,A
QV19964,Oregon,No,Basic,Doctor,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,B
MG66142,Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Small,B
HJ15383,Washington,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Medsize,B
MC38650,Nevada,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,A
PT93474,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Medsize,B
LP86596,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,A
ZD42550,Nevada,No,Basic,Master,Employed,F,Urban,Divorced,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize,A
WS68402,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Special Auto,Special L3,Offer4,Call Center,Four-Door Car,Large,A
CW92156,Washington,No,Basic,College,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer3,Branch,SUV,Medsize,A
VP57785,Oregon,Yes,Basic,College,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Two-Door Car,Medsize,A
DQ55516,California,No,Extended,Bachelor,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,A
LI76661,Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Call Center,Two-Door Car,Medsize,B
CK29372,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small,A
TW42649,Washington,No,Basic,College,Unemployed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Two-Door Car,Medsize,A
NX34811,Nevada,No,Premium,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Call Center,Two-Door Car,Medsize,A
HD82971,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
UQ63751,Arizona,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
EN89709,Arizona,No,Basic,Doctor,Disabled,F,Rural,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,A
FL69981,California,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,SUV,Medsize,A
DX65548,Arizona,Yes,Basic,College,Employed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize,A
YM79169,California,No,Basic,Bachelor,Disabled,M,Rural,Married,Personal Auto,Personal L1,Offer3,Agent,Two-Door Car,Medsize,A
BG19572,Washington,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer3,Agent,Four-Door Car,Medsize,B
LO14234,California,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize,B
QH51455,Arizona,No,Premium,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
HL84679,Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,A
IL12516,Oregon,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize,A
XJ92660,Nevada,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,A
FS56709,California,No,Basic,Doctor,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Large,B
AM26717,California,Yes,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Large,A
KR43119,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,B
XN25550,Unknown,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,SUV,Medsize,A
LS99940,California,No,Extended,Master,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,B
NW67881,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,SUV,Medsize,A
XI16714,Unknown,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer4,Web,Four-Door Car,Medsize,B
IJ21010,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,B
QM59790,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small,A
UY18770,California,Yes,Premium,Bachelor,Retired,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Luxury SUV,Medsize,B
XC26395,Oregon,No,Extended,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,B
DQ28641,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
AM99192,Arizona,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,A
HI91534,California,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer3,Web,SUV,Small,A
NL17031,Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,B
TN66124,California,No,Extended,High School or Below,Employed,M,Rural,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize,A
YQ42614,Washington,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Small,B
NA39347,California,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
MI13678,Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,A
PS47550,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
YC53575,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,B
DE28132,Oregon,No,Extended,College,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Large,A
HI16472,Arizona,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,B
BD58297,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Medsize,B
IH23596,California,No,Basic,Bachelor,Unemployed,F,Urban,Divorced,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize,B
TR96772,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Sports Car,Small,A
JG94795,Oregon,No,Premium,Master,Employed,F,Suburban,Married,Special Auto,Special L1,Offer2,Agent,Four-Door Car,Medsize,A
RD61361,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,A
LU95652,Oregon,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Medsize,A
UU98729,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large,A
BW25236,Arizona,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
NV13794,Unknown,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Small,A
LC23144,California,No,Basic,High School or Below,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,SUV,Medsize,B
SI20178,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,SUV,Medsize,A
PV77906,Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Web,Two-Door Car,Medsize,B
ZI51939,Oregon,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Small,B
DE53644,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,A
LM97847,California,No,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,A
YP19985,California,No,Basic,Bachelor,Employed,M,Rural,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize,A
RU94434,Oregon,Yes,Premium,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
ZL53118,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
FN66436,California,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
GS23406,California,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,A
IM55696,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small,B
QP32003,Arizona,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer3,Call Center,Four-Door Car,Medsize,A
IJ83011,California,No,Premium,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize,A
JP52554,California,No,Basic,Bachelor,Medical Leave,F,Urban,Divorced,Corporate Auto,Corporate L1,Offer3,Agent,Four-Door Car,Medsize,A
GK24074,Arizona,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Medsize,A
IX55883,California,No,Extended,College,Employed,F,Urban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,B
BB65725,California,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,B
QE46704,Nevada,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
BL93659,California,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize,A
ID89933,Unknown,No,Extended,Doctor,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Web,Four-Door Car,Medsize,B
RN48574,California,Yes,Extended,College,Retired,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,A
CX22458,California,Yes,Basic,Master,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
HH15953,California,No,Extended,Bachelor,Disabled,M,Suburban,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,B
VF15321,Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
IK60267,Nevada,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Medsize,B
QJ93301,Nevada,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Medsize,A
PC42162,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,B
SV38190,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,B
VE98553,Unknown,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large,A
JM30137,Washington,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Luxury Car,Large,B
DN46994,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,B
QM74025,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Web,SUV,Large,B
XY36764,California,Yes,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,B
WH41844,Oregon,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Small,A
VH66357,California,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small,B
LC59148,Washington,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize,B
XD32841,Oregon,No,Premium,Bachelor,Medical Leave,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,B
TY59231,California,Yes,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,A
BK76107,Oregon,Yes,Premium,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize,A
FM30352,Oregon,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Luxury Car,Medsize,B
TW94555,Nevada,Yes,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,B
UU81720,California,No,Basic,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
OK56965,California,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Offer2,Branch,Luxury SUV,Medsize,A
XS74336,Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Medsize,B
LH66741,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large,A
AG22225,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small,B
AH84063,Oregon,No,Extended,College,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer3,Call Center,SUV,Medsize,B
ND68993,Nevada,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,B
JG84729,Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,B
WL40338,California,Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,B
